user_id,cluster
3,2
6,8
16,3
17,3
19,2
21,4
42,1
44,8
46,2
47,8
53,8
64,3
73,8
83,7
85,8
90,8
102,2
110,7
111,8
112,8
117,7
120,0
121,2
135,2
145,8
146,10
147,8
153,8
156,3
172,2
173,7
174,9
181,8
184,8
198,10
204,2
205,8
209,8
214,8
219,8
222,2
227,3
228,1
240,8
243,2
248,10
251,2
257,4
262,12
264,4
267,7
272,8
284,8
285,12
286,0
290,0
291,8
293,8
310,7
313,12
314,1
320,3
321,2
325,7
326,9
327,7
330,8
332,2
336,9
340,2
346,8
349,9
350,1
360,12
366,3
368,2
371,8
372,4
375,2
377,7
381,0
386,3
389,6
406,8
423,1
427,2
428,2
431,6
432,8
433,1
436,2
437,8
440,10
442,3
445,8
446,2
457,11
459,8
464,8
469,2
478,2
479,8
481,6
483,8
484,2
493,2
498,7
507,12
516,2
517,8
524,8
526,7
531,1
542,11
549,11
559,2
563,8
566,11
569,8
571,3
577,8
590,6
592,11
593,7
596,9
601,6
603,2
608,2
613,7
620,8
631,8
633,12
639,3
641,8
642,8
643,2
644,2
649,8
652,8
655,8
656,10
662,8
664,3
671,1
673,9
674,3
675,8
681,8
689,8
690,2
694,10
695,7
699,8
711,8
713,2
716,8
719,8
724,8
725,3
728,10
730,9
732,11
745,8
746,6
753,8
760,8
764,3
770,8
771,7
773,11
774,3
776,7
778,2
779,3
783,2
785,6
792,9
802,1
815,2
819,9
820,0
823,8
836,3
842,3
848,9
849,9
851,6
853,5
859,6
860,9
864,8
866,8
871,2
872,0
876,8
889,2
894,3
899,8
906,3
911,8
912,9
917,5
921,3
925,8
927,8
932,7
934,2
936,11
937,8
943,8
948,2
950,2
953,5
965,8
969,1
970,8
974,2
976,1
985,8
989,8
995,11
997,2
998,8
1002,8
1004,9
1008,9
1010,8
1021,8
1025,8
1027,2
1031,8
1036,3
1042,4
1043,8
1045,1
1046,8
1047,8
1048,8
1049,0
1063,2
1066,11
1070,8
1073,9
1079,6
1092,8
1096,2
1097,8
1101,3
1107,3
1113,11
1115,8
1117,2
1119,8
1139,8
1150,8
1162,1
1170,8
1173,0
1177,9
1184,8
1187,3
1192,8
1197,8
1199,12
1203,7
1205,1
1209,8
1213,8
1220,8
1227,8
1231,0
1234,8
1235,8
1239,8
1242,8
1244,8
1246,8
1248,8
1249,8
1250,2
1264,6
1266,8
1273,6
1286,2
1289,5
1295,2
1296,8
1297,8
1309,12
1310,5
1316,8
1330,8
1334,8
1335,2
1346,8
1347,2
1348,2
1353,1
1357,12
1358,4
1365,6
1371,10
1373,9
1374,2
1383,11
1392,2
1393,10
1396,9
1404,8
1407,9
1409,8
1412,2
1417,9
1419,2
1420,8
1421,10
1422,7
1430,7
1437,1
1439,7
1440,11
1444,4
1453,1
1463,9
1470,2
1483,8
1487,3
1488,2
1491,0
1495,8
1501,1
1504,2
1506,8
1514,10
1529,8
1541,7
1546,8
1552,8
1558,6
1561,8
1567,9
1568,2
1570,3
1571,8
1582,5
1588,8
1596,8
1599,12
1601,2
1606,8
1609,2
1611,8
1612,10
1616,2
1619,8
1620,2
1626,8
1627,8
1629,5
1630,11
1631,11
1639,2
1650,0
1651,8
1663,8
1664,8
1665,1
1667,2
1694,8
1697,7
1710,2
1723,2
1731,3
1733,8
1747,2
1749,6
1752,2
1755,8
1756,10
1760,8
1766,8
1773,8
1775,8
1783,0
1796,8
1800,12
1802,10
1803,10
1806,1
1817,3
1820,7
1822,8
1833,3
1841,8
1850,8
1858,6
1864,8
1869,2
1874,8
1878,3
1879,8
1882,8
1886,2
1893,3
1894,8
1895,2
1900,8
1907,4
1924,2
1925,8
1934,8
1938,6
1941,7
1947,8
1957,8
1961,4
1962,2
1963,8
1965,8
1967,3
1972,3
1980,2
1983,8
1989,6
1996,8
2002,11
2003,2
2006,11
2009,2
2018,9
2021,8
2030,7
2032,2
2037,8
2058,8
2059,8
2060,3
2079,8
2088,8
2095,2
2098,11
2109,8
2111,2
2123,2
2135,3
2136,3
2142,0
2143,10
2158,8
2159,9
2161,8
2162,5
2169,8
2170,8
2174,8
2175,3
2177,8
2179,11
2182,4
2189,8
2191,12
2193,2
2194,11
2199,4
2204,7
2219,8
2220,8
2224,2
2225,3
2226,2
2235,9
2236,8
2237,2
2253,2
2262,8
2263,8
2270,3
2280,2
2286,8
2291,2
2292,5
2299,0
2300,8
2302,3
2303,3
2304,2
2312,8
2316,5
2317,3
2320,3
2325,2
2327,8
2339,7
2346,2
2349,8
2351,5
2353,8
2355,8
2356,9
2362,8
2365,8
2367,4
2371,8
2372,8
2373,8
2375,2
2381,10
2382,8
2388,8
2389,8
2400,2
2402,8
2410,10
2411,8
2414,8
2423,9
2425,8
2437,12
2447,8
2450,8
2453,10
2454,8
2460,2
2461,3
2464,5
2465,8
2468,9
2469,8
2471,2
2476,3
2480,7
2483,10
2484,2
2493,10
2494,8
2507,12
2509,2
2513,11
2518,8
2520,2
2535,8
2546,8
2547,9
2557,2
2559,8
2562,2
2563,10
2571,3
2576,2
2586,2
2595,8
2601,8
2605,8
2608,9
2609,11
2610,2
2613,8
2616,7
2636,7
2638,11
2641,2
2644,8
2646,7
2649,6
2656,11
2662,8
2664,8
2666,3
2674,8
2675,8
2677,8
2691,2
2702,5
2704,12
2713,6
2715,8
2718,11
2720,8
2721,8
2722,8
2727,7
2734,2
2735,8
2745,8
2751,7
2760,8
2768,8
2771,9
2776,4
2787,8
2791,2
2793,0
2796,2
2805,8
2809,4
2814,2
2816,8
2820,8
2824,8
2831,2
2832,9
2840,3
2845,8
2852,12
2856,9
2860,5
2866,8
2874,12
2881,8
2885,8
2891,4
2892,7
2896,2
2901,2
2902,8
2919,8
2924,8
2936,5
2937,7
2938,8
2945,8
2950,8
2952,8
2953,2
2955,7
2969,8
2972,10
2976,8
